time,value
1705350482625103800,1000
1705350483625166500,2000
1705350484625139800,3000
1705350485625341400,4000
1705350486625215300,5000
1705350487625655000,6000
1705350488625716900,7000
1705350489626778500,8000
1705350490623231400,0
1705350491626356600,1000
1705350492627086600,2000
1705350493627988600,3000
1705350494628239800,4000
1705350495628304000,5000
1705350496628047200,6000
1705350497628604600,7000
1705350498628744000,8000
1705350499625364500,0
1705350500629346900,1000
1705350501629035000,2000
1705350502629428900,3000
1705350503630084000,4000
1705350504629976200,5000
1705350505630622600,6000
1705350506630270600,7000
1705350507630975600,8000
1705350508627688900,0
1705350509631660700,1000
1705350510631876900,2000
1705350511632274700,3000
1705350512632324700,4000
1705350513632204600,5000
1705350514632919900,6000
1705350515632631000,7000
1705350516633482400,8000
