time,value
1705177849530034400,b'\x88\x02H\x10\x080\x8c\x01\x88 D\x12\x04\x12B\t\x8c\t\x880D\x12\x04\x12B\tF\x080\x8c\x01\x88 J\x88 J\x08\x02H\x10\x080\x8c\x01\x88 J\x88 J\x88\x02H\x08\x02\x080\x080\x88'
1705177849531035100,b'0'
1705177851111674900,b'0\r0'
1705177851111674900,b'0'
1705177851112650500,b'0'
1705177851112650500,b'0'
1705177851112650500,b'0'
1705177851113649200,b'0'
1705177851113649200,b'0'
1705177851116385700,b'0'
1705177851116385700,b'0'
1705177851117396800,b'0'
1705177851117396800,b'0'
1705177851117396800,b'0'
1705177851118393400,b'0'
1705177851118393400,b'0'
1705177851119393500,b'0'
1705177851119393500,b'0'
1705177851120393300,b'0'
1705177851120393300,b'0'
1705177851120393300,b'0'
1705177851121393400,b'0'
1705177851122393600,b'0'
1705177851122393600,b'0'
1705177851123394800,b'0'
1705177851123394800,b'0'
1705177851124393900,b'0'
1705177851124393900,b'0'
1705177851124393900,b'0'
1705177851125393500,b'0'
1705177851125393500,b'0'
1705177851126393200,b'0'
1705177851126393200,b'0'
1705177851126393200,b'0'
1705177851127393500,b'0'
1705177851127393500,b'0'
1705177851128393500,b'0'
1705177851128393500,b'0'
1705177851128393500,b'0'
1705177851129393400,b'0'
1705177851129393400,b'0'
1705177851130393500,b'0'
1705177851130393500,b'0'
1705177851130393500,b'0'
1705177851131393400,b'0'
1705177851131393400,b'0'
1705177851132393500,b'0'
1705177851132393500,b'0'
1705177851133393200,b'0'
1705177851133393200,b'0'
1705177851133393200,b'0'
1705177851134393500,b'0'
1705177851134393500,b'0'
1705177851135393100,b'0'
1705177851135393100,b'0'
1705177851135393100,b'0'
1705177851136393300,b'0'
1705177851136393300,b'0'
1705177851137393600,b'0'
1705177851137393600,b'0'
1705177851138393300,b'0'
1705177851138393300,b'0'
1705177851138393300,b'0'
1705177851139393400,b'0'
1705177851139393400,b'0'
1705177851140393400,b'0'
1705177851140393400,b'0'
1705177851140393400,b'0'
1705177851141393300,b'0'
1705177851141393300,b'0'
1705177851142393500,b'0'
1705177851142393500,b'0'
1705177851143393100,b'0'
1705177851143393100,b'0'
1705177851143393100,b'0'
1705177851144393300,b'0'
1705177851144393300,b'0'
1705177851145393100,b'0'
1705177851145393100,b'0'
1705177851145393100,b'0'
1705177851146393200,b'0'
1705177851146393200,b'0'
1705177851147393400,b'0'
1705177851147393400,b'0'
1705177851147393400,b'0'
1705177851148393300,b'0'
1705177851148393300,b'0'
1705177851149393300,b'0'
1705177851149393300,b'0'
1705177851149393300,b'0'
1705177851150393300,b'0'
1705177851150393300,b'0'
1705177851151393500,b'0'
1705177851151393500,b'0'
1705177851152393400,b'0'
1705177851152393400,b'0'
1705177851152393400,b'0'
1705177851153393300,b'0'
1705177851153393300,b'0'
1705177851154393300,b'0'
1705177851154393300,b'0'
1705177851154393300,b'0'
1705177851155393300,b'0'
1705177851155393300,b'0'
1705177851156393400,b'0'
1705177851156393400,b'0'
1705177851156393400,b'0'
1705177851157393400,b'0'
1705177851157393400,b'0'
1705177851158393400,b'0'
1705177851158393400,b'0'
1705177851158393400,b'0'
1705177851159393300,b'0'
1705177851159393300,b'0'
1705177851160393500,b'0'
1705177851160393500,b'0'
1705177851161393200,b'0'
1705177851161393200,b'0'
1705177851161393200,b'0'
1705177851162393400,b'0'
1705177851162393400,b'0'
1705177851163393100,b'0'
1705177851163393100,b'0'
1705177851163393100,b'0'
1705177851164393300,b'0'
1705177851164393300,b'0'
1705177851165393100,b'0'
1705177851165393100,b'0'
1705177851165393100,b'0'
