time,value
1705177850436752600,b'1'
1705177850935911000,b'0'
1705177851437204700,b'1'
1705177851935174100,b'0'
1705177852438720700,b'1'
1705177852939575900,b'0'
1705177853439117400,b'1'
1705177853938865600,b'0'
1705177854438865600,b'1'
1705177854938398600,b'0'
1705177855438111000,b'1'
1705177855938365500,b'0'
1705177856438026500,b'1'
1705177856937806500,b'0'
1705177857437256900,b'1'
1705177857936090700,b'0'
1705177858440047300,b'1'
1705177858940224800,b'0'
1705177859440877100,b'1'
1705177859939030400,b'0'
1705177860439937700,b'1'
1705177860938685200,b'0'
1705177861440684700,b'1'
1705177861940236900,b'0'
1705177862441006400,b'1'
1705177862939519200,b'0'
1705177863439603500,b'1'
1705177863937682100,b'0'
1705177864441647500,b'1'
1705177864940520900,b'0'
1705177865440077400,b'1'
1705177865939879300,b'0'
1705177866440878600,b'1'
1705177866939878900,b'0'
1705177867440307400,b'1'
1705177867938850400,b'0'
1705177868439215000,b'1'
1705177868940621500,b'0'
1705177869439032700,b'1'
1705177869938044500,b'0'
1705177870439110900,b'1'
1705177870941146200,b'0'
1705177871440439900,b'1'
1705177871940896300,b'0'
1705177872440234000,b'1'
1705177872939976700,b'0'
1705177873442250400,b'1'
1705177873942358300,b'0'
1705177874439336400,b'1'
1705177874941417600,b'0'
1705177875438573300,b'1'
1705177875938731300,b'0'
1705177876439697900,b'1'
1705177876942810000,b'0'
1705177877442080900,b'1'
1705177877941209000,b'0'
1705177878441297600,b'1'
1705177878941298500,b'0'
1705177879440381200,b'1'
1705177879942279300,b'0'
1705177880442222900,b'1'
1705177880943223100,b'0'
1705177881441283200,b'1'
1705177881941224200,b'0'
1705177882439455600,b'1'
1705177882943510100,b'0'
1705177883443353900,b'1'
1705177883943591100,b'0'
1705177884443589200,b'1'
