time,value
1705355082080216200,1
1705355082112433200,1
1705355082145469600,1
1705355082178473300,1
1705355082207367400,0
1705355082240221300,0
1705355082272898800,0
1705355082304849700,0
1705355082337797000,0
1705355082366753600,1
1705355082399577300,1
1705355082431531100,1
1705355082464249600,1
1705355082497623300,1
1705355082526930400,0
1705355082559672400,0
1705355082591787600,0
1705355082624247300,0
1705355082657246500,0
1705355082690246300,0
1705355082718245700,0
1705355082751249000,0
1705355082784246400,0
1705355082817310900,0
1705355082850262800,0
1705355082879126500,0
1705355082911384200,0
1705355082943975800,0
1705355082977106800,0
1705355083010281200,0
1705355083038271800,0
1705355083071554400,0
1705355083104522400,0
1705355083136063400,0
1705355083169022300,0
1705355083202065200,0
1705355083231064100,0
1705355083263021300,0
1705355083296063600,0
1705355083330015500,0
1705355083362145500,0
1705355083390633500,0
1705355083422772300,0
1705355083456327100,0
1705355083489053300,0
1705355083521477400,0
1705355083550568500,0
1705355083583403400,0
1705355083616823100,0
1705355083649031100,0
1705355083681636700,0
1705355083710387600,0
1705355083742421500,0
1705355083775400900,0
1705355083809070700,0
1705355083841668600,0
1705355083874252300,0
1705355083901985600,0
1705355083934952300,0
1705355083967954900,0
1705355084000952200,0
1705355084033954200,0
1705355084062080200,0
1705355084094957800,0
1705355084128043000,0
1705355084160778200,0
1705355084193810600,0
1705355084222482600,1
1705355084254963700,1
1705355084287939000,1
1705355084321139800,1
1705355084352893900,1
1705355084382143300,1
1705355084415085000,1
1705355084447668000,1
1705355084480631500,1
1705355084513062700,1
1705355084546500800,0
1705355084575064300,0
1705355084607460400,0
1705355084640322600,0
1705355084672193900,0
1705355084706104300,0
1705355084734675700,0
1705355084766926700,0
1705355084799634700,0
1705355084832792800,0
1705355084865856300,0
1705355084893641100,0
1705355084926632500,0
1705355084959632300,0
1705355084991632300,0
1705355085024639500,0
1705355085058023000,0
1705355085087018900,0
1705355085118673600,0
1705355085152511100,0
1705355085184913400,0
1705355085217832000,0
1705355085246971000,0
1705355085279823800,0
1705355085312421900,0
1705355085344117100,0
1705355085377890700,1
1705355085406628200,0
1705355085439416200,0
1705355085471517900,0
1705355085504047600,0
1705355085537375700,0
1705355085565252500,0
1705355085598847600,0
1705355085631171300,0
1705355085664594700,0
1705355085696691000,0
1705355085729879200,0
1705355085758736000,0
1705355085791593300,0
1705355085824498300,0
1705355085857347300,0
1705355085890064600,0
1705355085918464900,0
1705355085950480500,0
1705355085983577300,0
1705355086017022500,0
1705355086048928100,0
1705355086077546100,0
1705355086110547100,0
1705355086143546500,0
1705355086175546500,0
1705355086208547100,0
1705355086241689800,0
1705355086270645600,0
1705355086303253000,0
1705355086336480000,0
1705355086369001000,0
1705355086401758700,0
1705355086430238800,0
1705355086462552800,0
1705355086496046000,0
1705355086528540600,0
1705355086561123700,0
1705355086589972000,1
1705355086622973000,1
1705355086655583000,1
1705355086688452100,1
1705355086721253200,0
1705355086750305700,0
1705355086782904000,0
1705355086815845800,0
1705355086847841600,1
1705355086880928700,1
1705355086913769800,1
1705355086942539200,1
1705355086975149600,1
1705355087008490400,0
1705355087041097100,0
1705355087073907100,0
1705355087102550000,0
1705355087134396000,0
1705355087168091000,1
1705355087199786000,1
1705355087233060500,1
1705355087261022800,1
1705355087294072100,1
1705355087327073600,0
1705355087360065100,0
1705355087392118500,0
1705355087425539300,0
1705355087454216400,1
1705355087487027600,1
1705355087519965100,1
1705355087552532700,1
1705355087585639500,0
1705355087614418600,0
1705355087647258000,0
1705355087678926100,0
1705355087712846000,0
1705355087744893500,0
1705355087774376800,0
1705355087807283500,0
1705355087839872300,0
1705355087872602500,0
1705355087904887500,0
1705355087933094800,0
1705355087966546700,0
1705355087998580400,0
1705355088032322500,0
1705355088064229900,0
1705355088096735600,0
1705355088125894900,0
1705355088158491900,0
1705355088191428100,0
1705355088224592800,0
1705355088257273000,0
1705355088285839000,0
1705355088319168600,0
1705355088351583100,1
1705355088383865000,1
1705355088417098600,1
1705355088445798400,1
1705355088478921900,1
1705355088510999400,1
1705355088543656700,1
1705355088576816300,1
1705355088605319600,1
1705355088638331000,1
1705355088671498300,1
1705355088703333300,1
1705355088736537100,0
1705355088768576200,0
1705355088797800500,0
1705355088830115000,0
1705355088863207200,0
1705355088896046500,0
1705355088929174200,0
1705355088957912400,0
1705355088990075900,0
1705355089022908300,0
1705355089056510500,0
1705355089089291200,0
1705355089117140000,0
1705355089150477900,0
1705355089183124700,0
1705355089216449500,0
1705355089248893900,0
1705355089281349800,0
1705355089309412000,0
1705355089342349200,0
1705355089375682400,0
1705355089408275400,0
1705355089441731800,0
1705355089470255500,0
1705355089502760300,0
1705355089535826300,1
1705355089568553900,0
1705355089600451800,0
1705355089630008300,0
1705355089661542200,0
1705355089694735100,0
1705355089727951800,0
1705355089760756500,0
1705355089789707900,0
1705355089821896000,0
1705355089854863000,0
1705355089887428200,0
1705355089920884800,0
1705355089952875900,0
1705355089982083300,0
1705355090014372300,0
1705355090047308300,0
1705355090080253400,0
1705355090112253300,0
1705355090141701700,0
1705355090173699900,0
1705355090207179600,0
1705355090239706200,0
1705355090272600900,0
1705355090300651800,0
1705355090334630900,0
1705355090367029900,0
1705355090399573700,0
1705355090432347700,0
1705355090465173500,0
