time,value
1705354811030327900,0
1705354811063283800,0
1705354811092350300,0
1705354811124354100,0
1705354811157499600,0
1705354811190849200,0
1705354811222942400,0
1705354811252248200,1
1705354811284620800,0
1705354811317653900,1
1705354811349919500,0
1705354811382894500,0
1705354811415977300,1
1705354811444092200,0
1705354811477452300,1
1705354811510222200,0
1705354811542521500,1
1705354811575829900,1
1705354811603987200,0
1705354811637157400,1
1705354811669647100,0
1705354811702342700,1
1705354811734756400,1
1705354811763138000,0
1705354811796057900,1
1705354811829339400,0
1705354811862011800,1
1705354811894812000,0
1705354811927091700,0
1705354811956547500,1
1705354811988979100,0
1705354812021916600,1
1705354812055064400,0
1705354812087444000,0
1705354812116591600,1
1705354812149041700,0
1705354812181754000,1
1705354812214398700,0
1705354812247444100,0
1705354812275904400,0
1705354812309237300,0
1705354812341511800,0
1705354812373522200,1
1705354812406865700,0
1705354812435622100,0
1705354812468384000,0
1705354812500864300,0
1705354812533909300,1
1705354812566289200,0
1705354812599516400,1
1705354812627540600,0
1705354812660580300,0
1705354812693367300,1
1705354812726796800,0
1705354812758435600,1
1705354812788212300,0
1705354812820596000,1
1705354812852948200,1
1705354812886043900,0
1705354812919336100,1
1705354812948040500,0
1705354812980846500,1
1705354813013100300,1
1705354813045871800,0
1705354813078012000,1
1705354813107709300,0
1705354813140678400,1
1705354813173192800,0
1705354813205828300,1
1705354813238534600,1
1705354813271719200,0
1705354813299742700,1
1705354813332825100,0
1705354813365012400,0
1705354813397792800,1
1705354813431033100,0
1705354813459430200,1
1705354813492888300,0
1705354813524878300,0
1705354813558035600,0
1705354813591234000,0
1705354813619360500,1
1705354813652367300,1
1705354813685499700,0
1705354813718298600,0
1705354813750675500,0
1705354813782801700,0
1705354813811786300,1
1705354813844671900,0
1705354813877747400,1
1705354813910225700,0
1705354813943098000,0
1705354813972061400,1
1705354814004435000,0
1705354814037573600,1
1705354814070154300,0
1705354814102518800,1
1705354814131483700,1
1705354814164025400,0
1705354814196796200,1
1705354814229038100,0
1705354814262411300,1
1705354814290401000,1
1705354814323962900,0
1705354814355964300,1
1705354814389978100,0
1705354814422544400,1
1705354814455395200,0
1705354814483467600,0
1705354814516976700,1
1705354814549229700,0
1705354814582001600,1
1705354814614839800,0
1705354814643322400,0
1705354814676746800,1
1705354814709368900,0
1705354814742249100,1
1705354814774097700,0
1705354814802456400,0
1705354814836017500,0
1705354814869295400,0
1705354814902070700,1
1705354814933803700,1
1705354814966652200,0
1705354814995714600,0
1705354815028311300,0
1705354815060986500,0
1705354815093702700,1
1705354815126479200,0
1705354815156009100,1
1705354815188253600,0
1705354815221015000,0
1705354815253289300,1
1705354815286532000,0
1705354815315879100,1
1705354815348024400,0
1705354815381502200,0
1705354815413430300,1
1705354815446451700,0
1705354815475625600,1
1705354815508357200,0
1705354815540995900,1
1705354815573329800,1
1705354815606538000,0
1705354815638082500,1
1705354815667308900,0
1705354815700708800,1
1705354815733118500,0
1705354815765903500,0
1705354815799146100,1
1705354815827303000,0
1705354815860279600,1
1705354815893368500,0
1705354815926252600,0
1705354815958445600,1
1705354815986197000,0
1705354816019533000,1
1705354816052509300,0
1705354816084811500,0
1705354816117979200,0
1705354816146344000,0
1705354816179539000,1
1705354816211928700,1
1705354816244990800,0
1705354816277582900,0
1705354816310951900,0
1705354816338893400,0
1705354816372500600,1
1705354816404772000,0
1705354816437379700,1
1705354816470149500,0
1705354816499352700,0
1705354816531633000,1
1705354816564253600,0
1705354816597250700,1
1705354816629768500,0
1705354816658771000,0
1705354816692106300,1
1705354816724576400,0
1705354816757467300,1
1705354816790505300,0
1705354816822633900,1
1705354816851884800,0
1705354816883615500,0
1705354816917423000,1
1705354816950093200,0
1705354816982468300,1
1705354817010478800,0
1705354817043403100,0
1705354817077325500,1
1705354817109538500,0
1705354817142355400,1
1705354817171542200,0
1705354817203050900,1
1705354817236191500,1
1705354817269109500,0
1705354817302323200,1
1705354817330872400,0
1705354817362743700,0
1705354817396485900,0
1705354817429604100,0
1705354817461569300,1
1705354817494186100,1
1705354817523177900,0
1705354817556452900,0
1705354817588847400,0
1705354817621997200,0
1705354817653926100,1
1705354817682551000,0
1705354817716513000,0
1705354817748467500,0
1705354817781728900,0
1705354817813411100,1
1705354817842518200,0
1705354817875832100,1
1705354817908025500,0
1705354817940875400,0
1705354817973504100,1
1705354818007205000,0
1705354818035176300,1
1705354818068490100,0
1705354818100638000,1
1705354818133746100,1
1705354818166419600,0
1705354818195166500,1
1705354818227869100,0
1705354818260485400,1
1705354818293097700,0
1705354818326252800,0
1705354818355372900,1
1705354818387159500,0
1705354818420140800,1
1705354818452967600,0
1705354818485949600,0
1705354818514507500,1
1705354818546508300,0
1705354818579505100,1
1705354818612450300,0
1705354818645450500,0
1705354818677450400,0
1705354818707439300,0
1705354818739926900,1
1705354818772447800,1
1705354818805499800,1
1705354818838685600,0
1705354818867002500,0
1705354818899974800,0
1705354818932671800,1
1705354818965523200,0
1705354818998519800,0
1705354819026577800,0
1705354819058577600,0
1705354819091576800,1
1705354819124577000,0
1705354819157577700,1
1705354819190860100,0
1705354819219532000,0
1705354819252237100,0
1705354819284458600,0
1705354819317680700,1
1705354819350681700,0
1705354819379514300,1
1705354819411952000,0
