time,value
1705354903248005400,0
1705354903280961600,0
1705354903313069800,0
1705354903346639800,0
1705354903375151600,0
1705354903407960700,0
1705354903441067200,0
1705354903473492500,0
1705354903506800900,0
1705354903535740200,0
1705354903568187700,1
1705354903601037100,0
1705354903633229100,0
1705354903666276300,0
1705354903694802100,0
1705354903727777900,1
1705354903760713700,0
1705354903792885600,1
1705354903826400200,0
1705354903854400900,0
1705354903887216400,1
1705354903919762500,0
1705354903952839300,1
1705354903985909600,0
1705354904018399700,1
1705354904046395200,1
1705354904079328600,0
1705354904113179700,1
1705354904145562900,0
1705354904178796800,1
1705354904206858500,1
1705354904239659900,0
1705354904272647000,1
1705354904304488100,0
1705354904338315200,1
1705354904366689700,0
1705354904399178800,0
1705354904432227300,1
1705354904464806600,0
1705354904497084000,1
1705354904529804500,0
1705354904558989700,0
1705354904591807800,1
1705354904624329600,0
1705354904657901300,1
1705354904690320000,0
1705354904718985300,0
1705354904751912100,0
1705354904783567100,0
1705354904816577300,1
1705354904849576400,1
1705354904878577000,0
1705354904911585600,0
1705354904943576600,0
1705354904976743500,0
1705354905008890800,1
1705354905038203900,0
1705354905071202400,1
1705354905103237600,0
1705354905136245100,0
1705354905169181700,1
1705354905202057200,0
1705354905230193700,1
1705354905263280900,0
1705354905296368800,0
1705354905329256600,0
1705354905361972100,0
1705354905390224500,0
1705354905423178700,0
1705354905456383100,0
1705354905489010900,0
1705354905521631000,0
1705354905550634600,0
1705354905582626600,0
1705354905615683000,1
1705354905648628000,0
1705354905681327500,0
1705354905710046400,1
1705354905743540300,0
1705354905775310500,1
1705354905809042200,0
1705354905841703600,0
1705354905874150300,1
1705354905902716200,1
1705354905935588900,1
1705354905968598100,0
1705354906001111700,1
1705354906033488400,1
1705354906062659700,0
1705354906095104300,0
1705354906128006500,0
1705354906160585700,0
1705354906193585400,0
1705354906221658500,0
1705354906254996900,0
1705354906288001100,0
1705354906319995000,0
1705354906353173100,1
1705354906386315000,0
1705354906414957200,0
1705354906447641500,1
1705354906480189700,0
1705354906513481400,1
1705354906546362700,0
1705354906574910700,1
1705354906607353400,1
1705354906640134400,0
1705354906673406400,0
1705354906705731000,0
1705354906733924700,0
1705354906766924000,0
1705354906799460000,0
1705354906832564500,1
1705354906865608900,0
1705354906893310800,1
1705354906927320600,0
1705354906959404000,0
1705354906992103300,1
1705354907024737400,0
1705354907057975000,1
1705354907086348500,0
1705354907119196400,0
1705354907152021700,1
1705354907184987600,0
1705354907218028300,0
1705354907246148600,0
1705354907279598500,0
1705354907312194800,0
1705354907345151600,0
1705354907377166500,0
1705354907406172400,0
1705354907439353200,0
1705354907471556200,0
1705354907504089000,0
1705354907536924700,0
1705354907569886000,1
1705354907599050600,0
1705354907631705600,1
1705354907664128200,0
1705354907696762600,0
1705354907730145500,1
1705354907758732100,1
1705354907791587800,0
1705354907823407200,0
1705354907855945900,1
1705354907889764200,1
1705354907918598100,0
1705354907950944300,0
1705354907983205900,0
1705354908016488500,0
1705354908049269200,0
1705354908078316900,0
1705354908111084200,1
1705354908143190500,0
1705354908176235700,1
1705354908209063800,0
1705354908242176900,0
1705354908270609400,1
1705354908303420100,0
1705354908336531700,1
1705354908368924100,0
1705354908402103500,1
1705354908430180200,1
1705354908462141800,0
1705354908495341000,0
1705354908528076700,0
1705354908561172900,0
1705354908590279800,1
1705354908622688100,1
1705354908655799200,0
1705354908688756500,0
1705354908721531700,0
1705354908753502500,0
1705354908782891100,0
1705354908815374600,0
1705354908848100700,0
1705354908880922800,0
1705354908913762400,1
1705354908942660300,0
1705354908975480200,0
1705354909007590300,1
1705354909040957300,0
1705354909072830800,1
1705354909102524600,0
1705354909134457800,1
1705354909167674500,0
1705354909200220800,0
1705354909232852800,0
1705354909261533200,0
1705354909294541100,0
1705354909327041000,0
1705354909360038700,0
1705354909392659500,1
1705354909426024900,0
1705354909453746900,1
1705354909486850100,0
1705354909520125900,0
1705354909552531200,1
1705354909584533600,0
1705354909613530800,1
1705354909646933000,0
1705354909680009700,0
1705354909712558800,0
1705354909744796600,0
1705354909773811700,0
1705354909806807800,0
1705354909839188500,0
1705354909872076400,0
1705354909904433100,0
1705354909932964100,1
1705354909965907200,1
1705354909998947100,0
1705354910031943600,0
1705354910063943300,0
1705354910097203500,0
1705354910125930400,1
1705354910158826800,0
1705354910192149600,1
1705354910224340200,0
1705354910257612100,0
1705354910286303800,1
1705354910318573900,1
1705354910351805600,0
1705354910383826100,0
1705354910417223800,1
1705354910445135400,0
1705354910478850100,0
1705354910511191600,0
1705354910543770200,0
1705354910577439400,0
1705354910609879300,0
1705354910638163800,0
1705354910670791400,1
1705354910703169700,0
1705354910737171600,1
1705354910769904700,0
1705354910798215100,1
1705354910830401700,1
1705354910863462600,0
1705354910895845800,1
1705354910928701000,0
1705354910957714100,0
1705354910990837600,0
1705354911023143700,0
1705354911055858500,1
1705354911089338300,0
1705354911117978600,1
1705354911150271200,0
1705354911183396700,0
1705354911216496100,0
1705354911248479400,0
1705354911281723500,0
1705354911309187100,0
1705354911342756300,0
1705354911375791600,0
1705354911408327600,0
1705354911441323500,0
1705354911470179500,1
1705354911502778900,0
1705354911535640700,0
1705354911568498700,0
1705354911600260000,0
1705354911630042800,1
