time,value
1705346454473278000,rec_dec_153750_bin_00100101100010010110_p_6
1705346455100797200,rec_dec_1097097581_bin_01000001011001000110000101101101_p_6
1705346464099972700,rec_dec_153750_bin_00100101100010010110_p_10
1705346464726962400,rec_dec_1097097581_bin_01000001011001000110000101101101_p_10
1705346466311792100,rec_dec_153750_bin_00100101100010010110_p_11
1705346466906127800,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11
1705346468503504600,rec_dec_153750_bin_00100101100010010110_p_11
1705346469110303100,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11
1705346500029764300,rec_dec_153750_bin_00100101100010010110_p_1
1705346500700663100,rec_dec_1097097581_bin_01000001011001000110000101101101_p_1
1705346502430117500,rec_dec_153750_bin_00100101100010010110_p_2
1705346503139054600,rec_dec_1097097581_bin_01000001011001000110000101101101_p_2
1705346504235982700,rec_dec_7_bin_111_p_2
1705346504854581200,rec_dec_153750_bin_00100101100010010110_p_3
1705346505531252300,rec_dec_1097097581_bin_01000001011001000110000101101101_p_5
1705346506080027800,rec_dec_4_bin_100_p_3
1705346506624788100,rec_dec_7_bin_111_p_3
1705346509549685300,rec_dec_153750_bin_00100101100010010110_p_5
1705346510225642500,rec_dec_1097097581_bin_01000001011001000110000101101101_p_5
1705346511319437300,rec_dec_7_bin_111_p_5
1705346511933475000,rec_dec_153750_bin_00100101100010010110_p_6
1705346512601305500,rec_dec_1097097581_bin_01000001011001000110000101101101_p_6
1705346514293115900,rec_dec_153750_bin_00100101100010010110_p_7
1705346514932315400,rec_dec_1097097581_bin_01000001011001000110000101101101_p_7
1705346522370755300,rec_dec_153750_bin_00100101100010010110_p_10
1705346523033878500,rec_dec_1097097581_bin_01000001011001000110000101101101_p_10
1705346524119534500,rec_dec_7_bin_111_p_10
1705346524698056400,rec_dec_153750_bin_00100101100010010110_p_11
1705346525316303100,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11
1705346526974846600,rec_dec_153750_bin_00100101100010010110_p_11
1705346527613661400,rec_dec_1097097581_bin_01000001011001000110000101101101_p_11
1705346559242294300,rec_dec_153750_bin_00100101100010010110_p_1
1705346559954507300,rec_dec_1097097581_bin_01000001011001000110000101101101_p_1
1705346561770097800,rec_dec_153750_bin_00100101100010010110_p_2
1705346562522939400,rec_dec_1097097581_bin_01000001011001000110000101101101_p_2
1705346563165930600,rec_dec_4_bin_100_p_2
