time,value
1705346388670121700,send_rep_1_p_1_s_00100101100010010110
1705346389222283900,send_rep_1_p_1_s_01000001011001000110000101101101
1705346389747638700,send_rep_1_p_1_s_100
1705346390263447400,send_rep_1_p_1_s_111
1705346390800563400,send_rep_1_p_2_s_00100101100010010110
1705346391361186300,send_rep_1_p_2_s_01000001011001000110000101101101
1705346391902090500,send_rep_1_p_2_s_100
1705346392413000300,send_rep_1_p_2_s_111
1705346392946018900,send_rep_1_p_3_s_00100101100010010110
1705346393499447600,send_rep_1_p_3_s_01000001011001000110000101101101
1705346394027602400,send_rep_1_p_3_s_100
1705346394543918300,send_rep_1_p_3_s_111
1705346395076597000,send_rep_1_p_4_s_00100101100010010110
1705346395625520800,send_rep_1_p_4_s_01000001011001000110000101101101
1705346396150084900,send_rep_1_p_4_s_100
1705346396657756700,send_rep_1_p_4_s_111
1705346397181496100,send_rep_1_p_5_s_00100101100010010110
1705346397734452200,send_rep_1_p_5_s_01000001011001000110000101101101
1705346398262722800,send_rep_1_p_5_s_100
1705346398779459600,send_rep_1_p_5_s_111
1705346399312160300,send_rep_1_p_6_s_00100101100010010110
1705346399864095300,send_rep_1_p_6_s_01000001011001000110000101101101
1705346400389370700,send_rep_1_p_6_s_100
1705346400904777300,send_rep_1_p_6_s_111
1705346401437948400,send_rep_1_p_7_s_00100101100010010110
1705346401982577900,send_rep_1_p_7_s_01000001011001000110000101101101
1705346402498581100,send_rep_1_p_7_s_100
1705346403010062100,send_rep_1_p_7_s_111
1705346403543413900,send_rep_1_p_8_s_00100101100010010110
1705346404152925300,send_rep_1_p_8_s_01000001011001000110000101101101
1705346404771959200,send_rep_1_p_8_s_100
1705346405296010200,send_rep_1_p_8_s_111
1705346405836124100,send_rep_1_p_9_s_00100101100010010110
1705346406447480900,send_rep_1_p_9_s_01000001011001000110000101101101
1705346407065897600,send_rep_1_p_9_s_100
1705346407593234900,send_rep_1_p_9_s_111
1705346408134399300,send_rep_1_p_10_s_00100101100010010110
1705346408684076400,send_rep_1_p_10_s_01000001011001000110000101101101
1705346409208195200,send_rep_1_p_10_s_100
1705346409720393000,send_rep_1_p_10_s_111
1705346410252275800,send_rep_1_p_11_s_00100101100010010110
1705346410792878300,send_rep_1_p_11_s_01000001011001000110000101101101
1705346411297020400,send_rep_1_p_11_s_100
1705346411812676200,send_rep_1_p_11_s_111
1705346412341862500,send_rep_1_p_12_s_00100101100010010110
1705346412886256700,send_rep_1_p_12_s_01000001011001000110000101101101
1705346413402622800,send_rep_1_p_12_s_100
1705346413918169500,send_rep_1_p_12_s_111
1705346414451024300,send_rep_1_p_13_s_00100101100010010110
1705346414971389200,send_rep_1_p_13_s_01000001011001000110000101101101
1705346415450962200,send_rep_1_p_13_s_100
1705346415950229100,send_rep_1_p_13_s_111
1705346416470827000,send_rep_1_p_14_s_00100101100010010110
1705346416994736700,send_rep_1_p_14_s_01000001011001000110000101101101
1705346417482156500,send_rep_1_p_14_s_100
1705346417986134400,send_rep_1_p_14_s_111
1705346418505973200,send_rep_1_p_15_s_00100101100010010110
1705346419030472900,send_rep_1_p_15_s_01000001011001000110000101101101
1705346419518435500,send_rep_1_p_15_s_100
1705346420021200500,send_rep_1_p_15_s_111
1705346420542499700,send_rep_1_p_16_s_00100101100010010110
1705346421078570100,send_rep_1_p_16_s_01000001011001000110000101101101
1705346421582325300,send_rep_1_p_16_s_100
1705346422085917700,send_rep_1_p_16_s_111
1705346422611112600,send_rep_1_p_17_s_00100101100010010110
1705346423135336900,send_rep_1_p_17_s_01000001011001000110000101101101
1705346423622507900,send_rep_1_p_17_s_100
1705346424126342500,send_rep_1_p_17_s_111
1705346424646250200,send_rep_1_p_18_s_00100101100010010110
1705346425182616000,send_rep_1_p_18_s_01000001011001000110000101101101
1705346425691259900,send_rep_1_p_18_s_100
1705346426195082800,send_rep_1_p_18_s_111
1705346426719443000,send_rep_1_p_19_s_00100101100010010110
1705346427235279200,send_rep_1_p_19_s_01000001011001000110000101101101
1705346427718768200,send_rep_1_p_19_s_100
1705346428218529200,send_rep_1_p_19_s_111
1705346428738552700,send_rep_1_p_20_s_00100101100010010110
1705346429262937000,send_rep_1_p_20_s_01000001011001000110000101101101
1705346429749708900,send_rep_1_p_20_s_100
1705346430249671000,send_rep_1_p_20_s_111
1705346430770073100,send_rep_1_p_21_s_00100101100010010110
1705346431298253800,send_rep_1_p_21_s_01000001011001000110000101101101
1705346431786081800,send_rep_1_p_21_s_100
1705346432290011000,send_rep_1_p_21_s_111
1705346432810354500,send_rep_1_p_22_s_00100101100010010110
1705346433342793300,send_rep_1_p_22_s_01000001011001000110000101101101
1705346433850789600,send_rep_1_p_22_s_100
1705346434354213100,send_rep_1_p_22_s_111
1705346434878223500,send_rep_1_p_23_s_00100101100010010110
1705346435402730900,send_rep_1_p_23_s_01000001011001000110000101101101
1705346435890247600,send_rep_1_p_23_s_100
1705346436394022200,send_rep_1_p_23_s_111
1705346436914071100,send_rep_1_p_24_s_00100101100010010110
1705346437451004000,send_rep_1_p_24_s_01000001011001000110000101101101
1705346437958755100,send_rep_1_p_24_s_100
1705346438462178800,send_rep_1_p_24_s_111
1705346438987344300,send_rep_1_p_25_s_00100101100010010110
1705346439511615900,send_rep_1_p_25_s_01000001011001000110000101101101
1705346440002385500,send_rep_1_p_25_s_100
1705346440506917100,send_rep_1_p_25_s_111
1705346441030769600,send_rep_1_p_26_s_00100101100010010110
1705346441567547600,send_rep_1_p_26_s_01000001011001000110000101101101
1705346442079534100,send_rep_1_p_26_s_100
1705346442587735800,send_rep_1_p_26_s_111
1705346443111988100,send_rep_2_p_1_s_00100101100010010110
1705346443706335500,send_rep_2_p_1_s_01000001011001000110000101101101
1705346444291908600,send_rep_2_p_1_s_100
1705346444824368300,send_rep_2_p_1_s_111
1705346445372678600,send_rep_2_p_2_s_00100101100010010110
1705346445979525400,send_rep_2_p_2_s_01000001011001000110000101101101
1705346446589774900,send_rep_2_p_2_s_100
