time,value
1705330620799504900,"rec_dec_153750_bin_00100101100010010110_p_6"
1705330621426704000,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_6"
1705330621918299000,"rec_dec_4_bin_100_p_6"
1705330630425931100,"rec_dec_153750_bin_00100101100010010110_p_10"
1705330631053229000,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_10"
1705330631535461600,"rec_dec_4_bin_100_p_10"
1705330632060003700,"rec_dec_7_bin_111_p_10"
1705330632637889800,"rec_dec_153750_bin_00100101100010010110_p_11"
1705330633228068500,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_11"
1705330634828827200,"rec_dec_153750_bin_00100101100010010110_p_11"
1705330635431986700,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_11"
1705330635923839100,"rec_dec_4_bin_100_p_11"
1705330636456163700,"rec_dec_7_bin_111_p_11"
1705330666355663900,"rec_dec_153750_bin_00100101100010010110_p_1"
1705330667026891200,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_1"
1705330667576168200,"rec_dec_4_bin_100_p_1"
1705330668125178400,"rec_dec_7_bin_111_p_1"
1705330668755695600,"rec_dec_153750_bin_00100101100010010110_p_2"
1705330669390777000,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_2"
1705330670021921500,"rec_dec_4_bin_100_p_2"
1705330670558697100,"rec_dec_7_bin_111_p_2"
1705330671177218600,"rec_dec_153750_bin_00100101100010010110_p_3"
1705330671795887400,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_3"
1705330672406163900,"rec_dec_4_bin_100_p_3"
1705330675875837100,"rec_dec_153750_bin_00100101100010010110_p_5"
1705330676551418200,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_5"
1705330677099838900,"rec_dec_4_bin_100_p_2"
1705330677644847800,"rec_dec_7_bin_111_p_2"
1705330678222372200,"rec_dec_153750_bin_00100101100010010110_p_6"
1705330678296499300,"rec_dec_153750_bin_00100101100010010110_p_6"
1705330678927629300,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_6"
1705330679471627600,"rec_dec_4_bin_100_p_6"
1705330680619185500,"rec_dec_153750_bin_00100101100010010110_p_1"
1705330681257472000,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_7"
1705330681786297600,"rec_dec_4_bin_100_p_1"
1705330682327091000,"rec_dec_7_bin_111_p_1"
1705330688696842600,"rec_dec_153750_bin_00100101100010010110_p_10"
1705330689360838900,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_10"
1705330689909694500,"rec_dec_4_bin_100_p_10"
1705330690434148000,"rec_dec_7_bin_111_p_10"
1705330691023436800,"rec_dec_153750_bin_00100101100010010110_p_11"
1705330691641955000,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_11"
1705330692162109100,"rec_dec_4_bin_100_p_11"
1705330692715980500,"rec_dec_7_bin_111_p_11"
1705330693301555300,"rec_dec_153750_bin_00100101100010010110_p_11"
1705330693939961300,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_11"
1705330694473037400,"rec_dec_4_bin_100_p_11"
1705330695033921900,"rec_dec_7_bin_111_p_11"
1705330725568763300,"rec_dec_153750_bin_00100101100010010110_p_1"
1705330726277534100,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_1"
1705330726883882200,"rec_dec_4_bin_100_p_1"
1705330727449261200,"rec_dec_7_bin_111_p_1"
1705330728096280500,"rec_dec_153750_bin_00100101100010010110_p_2"
1705330728850239900,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_2"
1705330729476469000,"rec_dec_4_bin_100_p_2"
1705330730046273000,"rec_dec_7_bin_111_p_2"
1705330730664946300,"rec_dec_153750_bin_00100101100010010110_p_3"
1705330731381529900,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_5"
1705330731987235800,"rec_dec_4_bin_100_p_3"
1705330732549068400,"rec_dec_7_bin_111_p_3"
1705330735588006600,"rec_dec_153750_bin_00100101100010010110_p_5"
1705330736305596100,"rec_dec_1097097581_bin_01000001011001000110000101101101_p_5"
1705330736915788700,"rec_dec_4_bin_100_p_2"
1705330737472985900,"rec_dec_7_bin_111_p_2"
1705330738103143300,"rec_dec_153750_bin_00100101100010010110_p_6"
