time,value
1705330554994795700,"send_rep_1_p_1_s_00100101100010010110"
1705330555548179400,"send_rep_1_p_1_s_01000001011001000110000101101101"
1705330556076770800,"send_rep_1_p_1_s_100"
1705330556592928300,"send_rep_1_p_1_s_111"
1705330557125420400,"send_rep_1_p_2_s_00100101100010010110"
1705330557686552100,"send_rep_1_p_2_s_01000001011001000110000101101101"
1705330558227266300,"send_rep_1_p_2_s_100"
1705330558739035700,"send_rep_1_p_2_s_111"
1705330559271656900,"send_rep_1_p_3_s_00100101100010010110"
1705330559824542400,"send_rep_1_p_3_s_01000001011001000110000101101101"
1705330560356320000,"send_rep_1_p_3_s_100"
1705330560869257900,"send_rep_1_p_3_s_111"
1705330561401308100,"send_rep_1_p_4_s_00100101100010010110"
1705330561950436100,"send_rep_1_p_4_s_01000001011001000110000101101101"
1705330562473933200,"send_rep_1_p_4_s_100"
1705330562982595200,"send_rep_1_p_4_s_111"
1705330563506362500,"send_rep_1_p_5_s_00100101100010010110"
1705330564060124300,"send_rep_1_p_5_s_01000001011001000110000101101101"
1705330564592001500,"send_rep_1_p_5_s_100"
1705330565104169600,"send_rep_1_p_5_s_111"
1705330565636728800,"send_rep_1_p_6_s_00100101100010010110"
1705330566189442000,"send_rep_1_p_6_s_01000001011001000110000101101101"
1705330566714132700,"send_rep_1_p_6_s_100"
1705330567229412100,"send_rep_1_p_6_s_111"
1705330567762234500,"send_rep_1_p_7_s_00100101100010010110"
1705330568306974400,"send_rep_1_p_7_s_01000001011001000110000101101101"
1705330568823865600,"send_rep_1_p_7_s_100"
1705330569336041500,"send_rep_1_p_7_s_111"
1705330569868431600,"send_rep_1_p_8_s_00100101100010010110"
1705330570478707500,"send_rep_1_p_8_s_01000001011001000110000101101101"
1705330571097000600,"send_rep_1_p_8_s_100"
1705330571621335800,"send_rep_1_p_8_s_111"
1705330572161802200,"send_rep_1_p_9_s_00100101100010010110"
1705330572772262800,"send_rep_1_p_9_s_01000001011001000110000101101101"
1705330573394973400,"send_rep_1_p_9_s_100"
1705330573919039800,"send_rep_1_p_9_s_111"
1705330574460120200,"send_rep_1_p_10_s_00100101100010010110"
1705330575008981600,"send_rep_1_p_10_s_01000001011001000110000101101101"
1705330575536764800,"send_rep_1_p_10_s_100"
1705330576045326200,"send_rep_1_p_10_s_111"
1705330576577807300,"send_rep_1_p_11_s_00100101100010010110"
1705330577118548200,"send_rep_1_p_11_s_01000001011001000110000101101101"
1705330577626407500,"send_rep_1_p_11_s_100"
1705330578138386100,"send_rep_1_p_11_s_111"
1705330578667013200,"send_rep_1_p_12_s_00100101100010010110"
1705330579211806400,"send_rep_1_p_12_s_01000001011001000110000101101101"
1705330579727665900,"send_rep_1_p_12_s_100"
1705330580243989400,"send_rep_1_p_12_s_111"
1705330580776361900,"send_rep_1_p_13_s_00100101100010010110"
1705330581295890000,"send_rep_1_p_13_s_01000001011001000110000101101101"
1705330581776043200,"send_rep_1_p_13_s_100"
1705330582275780900,"send_rep_1_p_13_s_111"
1705330582795888700,"send_rep_1_p_14_s_00100101100010010110"
1705330583320147100,"send_rep_1_p_14_s_01000001011001000110000101101101"
1705330583807548400,"send_rep_1_p_14_s_100"
1705330584311497900,"send_rep_1_p_14_s_111"
1705330584831388200,"send_rep_1_p_15_s_00100101100010010110"
1705330585355704700,"send_rep_1_p_15_s_01000001011001000110000101101101"
1705330585843321200,"send_rep_1_p_15_s_100"
1705330586346588200,"send_rep_1_p_15_s_111"
1705330586867360600,"send_rep_1_p_16_s_00100101100010010110"
1705330587403341000,"send_rep_1_p_16_s_01000001011001000110000101101101"
1705330587907945100,"send_rep_1_p_16_s_100"
1705330588415154700,"send_rep_1_p_16_s_111"
1705330588935860600,"send_rep_1_p_17_s_00100101100010010110"
1705330589460289400,"send_rep_1_p_17_s_01000001011001000110000101101101"
1705330589951842400,"send_rep_1_p_17_s_100"
1705330590451331900,"send_rep_1_p_17_s_111"
1705330590970902200,"send_rep_1_p_18_s_00100101100010010110"
1705330591508133600,"send_rep_1_p_18_s_01000001011001000110000101101101"
1705330592015751700,"send_rep_1_p_18_s_100"
1705330592519865900,"send_rep_1_p_18_s_111"
1705330593043737000,"send_rep_1_p_19_s_00100101100010010110"
1705330593563910000,"send_rep_1_p_19_s_01000001011001000110000101101101"
1705330594043660900,"send_rep_1_p_19_s_100"
1705330594542664800,"send_rep_1_p_19_s_111"
1705330595063613100,"send_rep_1_p_20_s_00100101100010010110"
1705330595587911200,"send_rep_1_p_20_s_01000001011001000110000101101101"
1705330596075325600,"send_rep_1_p_20_s_100"
1705330596579132600,"send_rep_1_p_20_s_111"
1705330597099522100,"send_rep_1_p_21_s_00100101100010010110"
1705330597623345100,"send_rep_1_p_21_s_01000001011001000110000101101101"
1705330598110958200,"send_rep_1_p_21_s_100"
1705330598614910600,"send_rep_1_p_21_s_111"
1705330599135101500,"send_rep_1_p_22_s_00100101100010010110"
1705330599671801000,"send_rep_1_p_22_s_01000001011001000110000101101101"
1705330600175503900,"send_rep_1_p_22_s_100"
1705330600679538900,"send_rep_1_p_22_s_111"
1705330601203795800,"send_rep_1_p_23_s_00100101100010010110"
1705330601728017600,"send_rep_1_p_23_s_01000001011001000110000101101101"
1705330602219049800,"send_rep_1_p_23_s_100"
1705330602719302000,"send_rep_1_p_23_s_111"
1705330603239051900,"send_rep_1_p_24_s_00100101100010010110"
1705330603776221600,"send_rep_1_p_24_s_01000001011001000110000101101101"
1705330604284182500,"send_rep_1_p_24_s_100"
1705330604787933300,"send_rep_1_p_24_s_111"
1705330605312257300,"send_rep_1_p_25_s_00100101100010010110"
1705330605836722400,"send_rep_1_p_25_s_01000001011001000110000101101101"
1705330606327698400,"send_rep_1_p_25_s_100"
1705330606830600100,"send_rep_1_p_25_s_111"
1705330607356296900,"send_rep_1_p_26_s_00100101100010010110"
1705330607892896900,"send_rep_1_p_26_s_01000001011001000110000101101101"
1705330608404696300,"send_rep_1_p_26_s_100"
1705330608912818100,"send_rep_1_p_26_s_111"
1705330609436876600,"send_rep_2_p_1_s_00100101100010010110"
1705330610030822300,"send_rep_2_p_1_s_01000001011001000110000101101101"
1705330610616687100,"send_rep_2_p_1_s_100"
1705330611149206700,"send_rep_2_p_1_s_111"
1705330611698235900,"send_rep_2_p_2_s_00100101100010010110"
1705330612304205900,"send_rep_2_p_2_s_01000001011001000110000101101101"
1705330612918691900,"send_rep_2_p_2_s_100"
1705330613443063000,"send_rep_2_p_2_s_111"
1705330613987327900,"send_rep_2_p_3_s_00100101100010010110"
1705330614581156800,"send_rep_2_p_3_s_01000001011001000110000101101101"
1705330615171652800,"send_rep_2_p_3_s_100"
1705330615703834700,"send_rep_2_p_3_s_111"
1705330616248206700,"send_rep_2_p_4_s_00100101100010010110"
1705330616830758200,"send_rep_2_p_4_s_01000001011001000110000101101101"
1705330617404262300,"send_rep_2_p_4_s_100"
1705330617919755600,"send_rep_2_p_4_s_111"
1705330618452866900,"send_rep_2_p_5_s_00100101100010010110"
1705330619045829400,"send_rep_2_p_5_s_01000001011001000110000101101101"
1705330619636652200,"send_rep_2_p_5_s_100"
1705330620168293200,"send_rep_2_p_5_s_111"
1705330620713684400,"send_rep_2_p_6_s_00100101100010010110"
1705330621303521400,"send_rep_2_p_6_s_01000001011001000110000101101101"
1705330621885408700,"send_rep_2_p_6_s_100"
1705330622417567100,"send_rep_2_p_6_s_111"
1705330622965991900,"send_rep_2_p_7_s_00100101100010010110"
1705330623539210800,"send_rep_2_p_7_s_01000001011001000110000101101101"
1705330624100486200,"send_rep_2_p_7_s_100"
1705330624624209100,"send_rep_2_p_7_s_111"
1705330625169770400,"send_rep_2_p_8_s_00100101100010010110"
1705330625875076700,"send_rep_2_p_8_s_01000001011001000110000101101101"
1705330626645071100,"send_rep_2_p_8_s_100"
1705330627192625200,"send_rep_2_p_8_s_111"
1705330627755174200,"send_rep_2_p_9_s_00100101100010010110"
1705330628462244900,"send_rep_2_p_9_s_01000001011001000110000101101101"
1705330629232526900,"send_rep_2_p_9_s_100"
1705330629782823300,"send_rep_2_p_9_s_111"
1705330630343333700,"send_rep_2_p_10_s_00100101100010010110"
1705330630932750600,"send_rep_2_p_10_s_01000001011001000110000101101101"
1705330631510462000,"send_rep_2_p_10_s_100"
1705330632035371400,"send_rep_2_p_10_s_111"
1705330632575955100,"send_rep_2_p_11_s_00100101100010010110"
1705330633145481500,"send_rep_2_p_11_s_01000001011001000110000101101101"
