,index,time,value,value_list,status,rep,protocol,number,decimal
0,0,1705330554994795700,send_rep_1_p_1_s_00100101100010010110,"['send', 'rep', '1', 'p', '1', 's', '00100101100010010110']",send,1,1,00100101100010010110,
1,1,1705330555548179400,send_rep_1_p_1_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '1', 's', '01000001011001000110000101101101']",send,1,1,01000001011001000110000101101101,
2,2,1705330556076770800,send_rep_1_p_1_s_100,"['send', 'rep', '1', 'p', '1', 's', '100']",send,1,1,100,
3,3,1705330556592928300,send_rep_1_p_1_s_111,"['send', 'rep', '1', 'p', '1', 's', '111']",send,1,1,111,
4,4,1705330557125420400,send_rep_1_p_2_s_00100101100010010110,"['send', 'rep', '1', 'p', '2', 's', '00100101100010010110']",send,1,2,00100101100010010110,
5,5,1705330557686552100,send_rep_1_p_2_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '2', 's', '01000001011001000110000101101101']",send,1,2,01000001011001000110000101101101,
6,6,1705330558227266300,send_rep_1_p_2_s_100,"['send', 'rep', '1', 'p', '2', 's', '100']",send,1,2,100,
7,7,1705330558739035700,send_rep_1_p_2_s_111,"['send', 'rep', '1', 'p', '2', 's', '111']",send,1,2,111,
8,8,1705330559271656900,send_rep_1_p_3_s_00100101100010010110,"['send', 'rep', '1', 'p', '3', 's', '00100101100010010110']",send,1,3,00100101100010010110,
9,9,1705330559824542400,send_rep_1_p_3_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '3', 's', '01000001011001000110000101101101']",send,1,3,01000001011001000110000101101101,
10,10,1705330560356320000,send_rep_1_p_3_s_100,"['send', 'rep', '1', 'p', '3', 's', '100']",send,1,3,100,
11,11,1705330560869257900,send_rep_1_p_3_s_111,"['send', 'rep', '1', 'p', '3', 's', '111']",send,1,3,111,
12,12,1705330561401308100,send_rep_1_p_4_s_00100101100010010110,"['send', 'rep', '1', 'p', '4', 's', '00100101100010010110']",send,1,4,00100101100010010110,
13,13,1705330561950436100,send_rep_1_p_4_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '4', 's', '01000001011001000110000101101101']",send,1,4,01000001011001000110000101101101,
14,14,1705330562473933200,send_rep_1_p_4_s_100,"['send', 'rep', '1', 'p', '4', 's', '100']",send,1,4,100,
15,15,1705330562982595200,send_rep_1_p_4_s_111,"['send', 'rep', '1', 'p', '4', 's', '111']",send,1,4,111,
16,16,1705330563506362500,send_rep_1_p_5_s_00100101100010010110,"['send', 'rep', '1', 'p', '5', 's', '00100101100010010110']",send,1,5,00100101100010010110,
17,17,1705330564060124300,send_rep_1_p_5_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '5', 's', '01000001011001000110000101101101']",send,1,5,01000001011001000110000101101101,
18,18,1705330564592001500,send_rep_1_p_5_s_100,"['send', 'rep', '1', 'p', '5', 's', '100']",send,1,5,100,
19,19,1705330565104169600,send_rep_1_p_5_s_111,"['send', 'rep', '1', 'p', '5', 's', '111']",send,1,5,111,
20,20,1705330565636728800,send_rep_1_p_6_s_00100101100010010110,"['send', 'rep', '1', 'p', '6', 's', '00100101100010010110']",send,1,6,00100101100010010110,
21,21,1705330566189442000,send_rep_1_p_6_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '6', 's', '01000001011001000110000101101101']",send,1,6,01000001011001000110000101101101,
22,22,1705330566714132700,send_rep_1_p_6_s_100,"['send', 'rep', '1', 'p', '6', 's', '100']",send,1,6,100,
23,23,1705330567229412100,send_rep_1_p_6_s_111,"['send', 'rep', '1', 'p', '6', 's', '111']",send,1,6,111,
24,24,1705330567762234500,send_rep_1_p_7_s_00100101100010010110,"['send', 'rep', '1', 'p', '7', 's', '00100101100010010110']",send,1,7,00100101100010010110,
25,25,1705330568306974400,send_rep_1_p_7_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '7', 's', '01000001011001000110000101101101']",send,1,7,01000001011001000110000101101101,
26,26,1705330568823865600,send_rep_1_p_7_s_100,"['send', 'rep', '1', 'p', '7', 's', '100']",send,1,7,100,
27,27,1705330569336041500,send_rep_1_p_7_s_111,"['send', 'rep', '1', 'p', '7', 's', '111']",send,1,7,111,
28,28,1705330569868431600,send_rep_1_p_8_s_00100101100010010110,"['send', 'rep', '1', 'p', '8', 's', '00100101100010010110']",send,1,8,00100101100010010110,
29,29,1705330570478707500,send_rep_1_p_8_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '8', 's', '01000001011001000110000101101101']",send,1,8,01000001011001000110000101101101,
30,30,1705330571097000600,send_rep_1_p_8_s_100,"['send', 'rep', '1', 'p', '8', 's', '100']",send,1,8,100,
31,31,1705330571621335800,send_rep_1_p_8_s_111,"['send', 'rep', '1', 'p', '8', 's', '111']",send,1,8,111,
32,32,1705330572161802200,send_rep_1_p_9_s_00100101100010010110,"['send', 'rep', '1', 'p', '9', 's', '00100101100010010110']",send,1,9,00100101100010010110,
33,33,1705330572772262800,send_rep_1_p_9_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '9', 's', '01000001011001000110000101101101']",send,1,9,01000001011001000110000101101101,
34,34,1705330573394973400,send_rep_1_p_9_s_100,"['send', 'rep', '1', 'p', '9', 's', '100']",send,1,9,100,
35,35,1705330573919039800,send_rep_1_p_9_s_111,"['send', 'rep', '1', 'p', '9', 's', '111']",send,1,9,111,
36,36,1705330574460120200,send_rep_1_p_10_s_00100101100010010110,"['send', 'rep', '1', 'p', '10', 's', '00100101100010010110']",send,1,10,00100101100010010110,
37,37,1705330575008981600,send_rep_1_p_10_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '10', 's', '01000001011001000110000101101101']",send,1,10,01000001011001000110000101101101,
38,38,1705330575536764800,send_rep_1_p_10_s_100,"['send', 'rep', '1', 'p', '10', 's', '100']",send,1,10,100,
39,39,1705330576045326200,send_rep_1_p_10_s_111,"['send', 'rep', '1', 'p', '10', 's', '111']",send,1,10,111,
40,40,1705330576577807300,send_rep_1_p_11_s_00100101100010010110,"['send', 'rep', '1', 'p', '11', 's', '00100101100010010110']",send,1,11,00100101100010010110,
41,41,1705330577118548200,send_rep_1_p_11_s_01000001011001000110000101101101,"['send', 'rep', '1', 'p', '11', 's', '01000001011001000110000101101101']",send,1,11,01000001011001000110000101101101,
42,42,1705330577626407500,send_rep_1_p_11_s_100,"['send', 'rep', '1', 'p', '11', 's', '100']",send,1,11,100,
43,43,1705330578138386100,send_rep_1_p_11_s_111,"['send', 'rep', '1', 'p', '11', 's', '111']",send,1,11,111,
